Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Net official aid received (constant 2021 US$),DT.ODA.OATL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Net official aid received (current US$),DT.ODA.OATL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,120099998.474121,238550003.051758,115879997.253418,244419998.168945,304029998.779297,350480010.986328,318929992.675781,253910003.662109,175389999.389648,158690002.441406,177809997.558594,262350006.103516,301290008.544922,271359985.351563,218350006.103516,264500000,269709991.455078,293630004.882813,230850006.103516,270950012.207031,72260002.1362305,58990001.6784668,27059999.4659424,39950000.7629395,19729999.5422363,45889999.3896484,6429999.82833862,93459999.0844727,137610000.610352,273100006.103516,209800003.051758,804239990.234375,323019989.013672,359290008.544922,355489990.234375,292700012.207031,236380004.882813,357220001.220703,256950012.207031,225970001.220703,233360000.610352,737489990.234375,1932219970.70313,2119750000,2882780029.29688,3558129882.8125,3536939941.40625,5140459960.9375,5124450195.3125,6568600097.65625,6882540039.0625,7099149902.34375,6966729980.46875,5354040039.0625,5175979980.46875,4815140136.71875,4610850097.65625,4248819824.21875,4073770019.53125,4509450195.3125,4480430175.78125,4690520019.53125,3959649902.34375,..,..
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,17180000.3051758,34669998.1689453,16930000.3051758,36669998.1689453,46169998.1689453,53930000.3051758,50840000.1525879,41080001.8310547,29239999.7711182,27250000,27610000.6103516,44439998.626709,55180000.3051758,55720001.2207031,48909999.8474121,66980003.3569336,70199996.9482422,82720001.2207031,74500000,99209999.0844727,28600000.3814697,22950000.7629395,9739999.77111816,13479999.5422363,6710000.03814697,16319999.6948242,2650000.09536743,46520000.4577637,73500000,149320007.324219,122720001.220703,508540008.544922,204800003.051758,223800003.051758,226419998.168945,212529998.779297,169630004.882813,230750000,164199996.948242,142860000.610352,136009994.506836,410359985.351563,1223290039.0625,1538229980.46875,2268530029.29688,2815100097.65625,2895830078.125,4540379882.8125,4645399902.34375,5766540039.0625,6235319824.21875,6745740234.375,6666770019.53125,5152540039.0625,4942970214.84375,4274229980.46875,4069409912.10938,3811739990.23438,3792489990.23438,4136990234.375,4208899902.34375,4690520019.53125,3893270019.53125,..,..
Afghanistan,AFG,Net official development assistance received (constant 2021 US$),DT.ODA.ODAT.KD,125949996.948242,250179992.675781,121709999.084473,256320007.324219,319730010.986328,370779998.779297,336980010.986328,268100006.103516,185179992.675781,168229995.727539,177809997.558594,262350006.103516,301290008.544922,271359985.351563,218350006.103516,264500000,269709991.455078,293630004.882813,230850006.103516,270950012.207031,72260002.1362305,58990001.6784668,27059999.4659424,39950000.7629395,19729999.5422363,45889999.3896484,6429999.82833862,93459999.0844727,137610000.610352,273100006.103516,209800003.051758,804239990.234375,323019989.013672,359290008.544922,355489990.234375,292700012.207031,236380004.882813,357220001.220703,256950012.207031,225970001.220703,233360000.610352,737489990.234375,1932219970.70313,2119750000,2882780029.29688,3558129882.8125,3536939941.40625,5140459960.9375,5124450195.3125,6568600097.65625,6882540039.0625,7099149902.34375,6966729980.46875,5354040039.0625,5175979980.46875,4815140136.71875,4610850097.65625,4248819824.21875,4073770019.53125,4509450195.3125,4480430175.78125,4690520019.53125,3959649902.34375,..,..
Afghanistan,AFG,Net official development assistance received (current US$),DT.ODA.ODAT.CD,17180000.3051758,34669998.1689453,16930000.3051758,36669998.1689453,46169998.1689453,53930000.3051758,50840000.1525879,41080001.8310547,29239999.7711182,27250000,27610000.6103516,44439998.626709,55180000.3051758,55720001.2207031,48909999.8474121,66980003.3569336,70199996.9482422,82720001.2207031,74500000,99209999.0844727,28600000.3814697,22950000.7629395,9739999.77111816,13479999.5422363,6710000.03814697,16319999.6948242,2650000.09536743,46520000.4577637,73500000,149320007.324219,122720001.220703,508540008.544922,204800003.051758,223800003.051758,226419998.168945,212529998.779297,169630004.882813,230750000,164199996.948242,142860000.610352,136009994.506836,410359985.351563,1223290039.0625,1538229980.46875,2268530029.29688,2815100097.65625,2895830078.125,4540379882.8125,4645399902.34375,5766540039.0625,6235319824.21875,6745740234.375,6666770019.53125,5152540039.0625,4942970214.84375,4274229980.46875,4069409912.10938,3811739990.23438,3792489990.23438,4136990234.375,4208899902.34375,4690520019.53125,3893270019.53125,..,..
Albania,ALB,Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Net ODA provided, total (constant 2021 US$)",DC.ODA.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
